date,actual,forecast
2024-03-15,5.4402,5.4414329402382675
2024-03-16,5.450033333333333,5.445321144474693
2024-03-17,5.459866666666667,5.45010601632031
2024-03-18,5.4697,5.454084769076537
2024-03-19,5.4662,5.458248501106947
2024-03-20,5.4352,5.46242428563584
2024-03-21,5.402,5.455884409844371
2024-03-22,5.4065,5.446924950932476
2024-03-23,5.400733333333333,5.439567960651077
2024-03-24,5.394966666666667,5.431690422545783
2024-03-25,5.3892,5.424001250900116
2024-03-26,5.396,5.4188613463258495
2024-03-27,5.4047,5.415039253562869
2024-03-28,5.4118,5.409539584789617
2024-03-29,5.4032,5.4023189092949435
2024-03-30,5.4123,5.3960769687532695
2024-03-31,5.4214,5.3898123237182824
2024-04-01,5.4305,5.383547678683295
2024-04-02,5.4571,5.374105498087575
2024-04-03,5.4598,5.375549670748156
2024-04-04,5.4818,5.381166259240138
2024-04-05,5.4912,5.380019206808866
2024-04-06,5.481,5.3806539204670765
2024-04-07,5.4708000000000006,5.381530055114843
2024-04-08,5.4606,5.3826072102644025
2024-04-09,5.4354,5.385817031933349
2024-04-10,5.4565,5.389493182048627
2024-04-11,5.4612,5.397436210714076
2024-04-12,5.4586,5.408265999084281
2024-04-13,5.473433333333333,5.41330557632603
2024-04-14,5.488266666666666,5.418535995739495
2024-04-15,5.5031,5.4237664151529605
2024-04-16,5.6131,5.4565697234102
2024-04-17,5.5951,5.46455284782045
2024-04-18,5.5922,5.461716498865494
2024-04-19,5.5489,5.455718549012879
2024-04-20,5.5336,5.448672335451051
2024-04-21,5.5183,5.44235068827701
2024-04-22,5.503,5.432368234733765
2024-04-23,5.4913,5.435618408764335
2024-04-24,5.5057,5.440083710203671
2024-04-25,5.5292,5.469668593993467
2024-04-26,5.4708,5.482326420869258
2024-04-27,5.473366666666666,5.488687039245432
2024-04-28,5.475933333333334,5.491696347027599
2024-04-29,5.4785,5.492949870989649
2024-04-30,5.5341,5.488567621176838
2024-05-01,5.5502,5.481993493816884
2024-05-02,5.4805,5.473074990028349
2024-05-03,5.459,5.462234847766371
2024-05-04,5.459,5.452937050962364
2024-05-05,5.459,5.44413466782086
2024-05-06,5.459,5.435323650520741
2024-05-07,5.4579,5.427245886408082
2024-05-08,5.4689,5.42275933586569
