,open,high,low,close,diff_close,rolling_median_10,ma_3,ma_7,ma_30,momentum_10,volatility_10,volatility_30,volatility_ratio_10,lag_1,lag_3,lag_7,trend_5,day_of_week,month,inflation
count,1782.0,1782.0,1782.0,1782.0,1782.0,1782.0,1782.0,1782.0,1782.0,1782.0,1782.0,1782.0,1782.0,1782.0,1782.0,1782.0,1782.0,1782.0,1782.0,1782.0
mean,5.846207912457912,5.888434231200898,5.805141638608305,5.847470875420876,0.0012133557800224487,5.843582912457912,5.846410643471754,5.845814590347923,5.842190192667414,0.003517115600448931,0.05369699423836454,0.05507632108645752,0.009151572145822982,5.846257519640853,5.845437822671156,5.8437011784511785,0.0008983277216610562,1.998877665544332,6.599887766554433,146.59551952861952
std,0.4856002108221423,0.49211871352406256,0.48026482685209143,0.487360886408335,0.05349770781403428,0.4813026832524016,0.4841529650864509,0.4822642484979999,0.47272764975337356,0.16135197293027617,0.021839913045569186,0.018165467165462912,0.0036044516280750423,0.4850040633956285,0.48504006752475737,0.48393542224489583,0.04822769985546577,1.247518712604373,3.4423632300749656,12.982062748203656
min,4.9844,5.0511,4.9642,4.9846,-0.2351000000000001,5.0683,5.017433333333333,5.048728571428572,5.15237,-0.5624000000000002,0.0143785372459559,0.0186426417643536,0.0026184690497443,4.9846,4.9846,4.9846,-0.16669,0.0,1.0,123.2367
25%,5.37915,5.40755,5.3521,5.381975,-0.028075000000000003,5.36695,5.375825,5.370607142857144,5.357110277777778,-0.09807499999999973,0.03811601228134182,0.041737672705736265,0.006645435083283667,5.3796083333333335,5.3809249999999995,5.378925000000001,-0.0295049999999994,1.0,4.0,135.1557
50%,5.8914,5.9321,5.8475,5.89365,0.0,5.877975,5.89155,5.892128571428572,5.873916666666666,0.005649999999999967,0.04948209052677647,0.05346615411519242,0.00855804330280975,5.8908000000000005,5.8622499999999995,5.864733333333334,0.0015783333333332168,2.0,7.0,148.765
75%,6.2666,6.316491666666667,6.216575,6.269333333333333,0.030599999999999725,6.2627500000000005,6.268999999999999,6.260685714285715,6.2776525,0.10267499999999977,0.06527891819543082,0.06552035280918951,0.011160095091966325,6.2666,6.263675,6.265158333333334,0.030692500000000164,3.0,10.0,157.1481
max,6.9601,6.9988,6.8669,6.961,0.2630999999999996,6.78085,6.879833333333334,6.836828571428571,6.711703333333333,0.6372999999999998,0.1329238060778512,0.1125385592156965,0.0234968103936383,6.961,6.961,6.961,0.2010399999999998,4.0,12.0,165.0038
